video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=gcnFLnWxkwA&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,Tacoma Whole Child Initiative / UW Tacoma,388,6 years,The University of Washington Tacoma / Be Boundless Website: http://www.tacoma.uw.edu Facebook: ...,2024-01-23 19:32:14.919282
/watch?v=maorPClyeJo&pp=ygUJdXcgdGFjb21h,/@UWTacomaExtended,UW Tacoma Extended,Why We Love Tacoma - Food,15K,9 years,A highlight reel of a few restaurants around downtown Tacoma. The University of Washington Tacoma / Be Boundless Website: ...,2024-01-23 19:32:14.921677
/watch?v=4rEDk9lDcJI&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,Madeline Zent: First Generation College Celebration 2020 / UW Tacoma,255,3 years,The University of Washington Tacoma / Be Boundless Website: http://www.tacoma.uw.edu Facebook: ...,2024-01-23 19:32:26.030761
/watch?v=h-O9twCjOTM&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,President's Medalist 2022 Andre Jimenez / UW Tacoma,324,1 year,The University of Washington Tacoma / Be Boundless Website: http://www.tacoma.uw.edu Facebook: ...,2024-01-23 19:32:26.032193
/watch?v=JDwvuzgS0UM&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,Returning to Campus: Mentha Hynes-Wilson / UW Tacoma,446,2 years,Mentha Hynes-Wilson has lots of great information to share with you about the return to campus: ...,2024-01-23 19:32:26.034116
/watch?v=07FIRtgrPnI&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,American Studies / UW Tacoma,72,6 years,A quick look at what makes American Studies at UWT a fun and unique community-engaged major. Special focus on what you'll ...,2024-01-23 19:32:26.035532
/watch?v=WBAOP2ld-Yo&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,Vincent Da: First Generation College Celebration 2020 / UW Tacoma,79,3 years,The University of Washington Tacoma / Be Boundless Website: http://www.tacoma.uw.edu Facebook: ...,2024-01-23 19:32:26.037364
/watch?v=rvNIPjJNrEU&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,Hayley Oberbillig / UW Tacoma,694,6 years,"A profile on Hayley Oberbilllig, a student of the Millgard School of Busines, discusses her career plans. The University of ...",2024-01-23 19:32:26.038766
/watch?v=OzM-MSBr3LE&pp=ygUJdXcgdGFjb21h,/@uwtacoma3145,UW Tacoma,Chancellor's Medalist 2021: Kirsten Hargett / UW Tacoma,257,2 years,The University of Washington Tacoma / Be Boundless Website: http://www.tacoma.uw.edu Facebook: ...,2024-01-23 19:32:26.040039
/watch?v=jfQv9F3tyoc&pp=ygUJdXcgdGFjb21h,/@UWVideo,UW Video,UW Tacoma Student Teachers Making a Difference,898,8 years,UW 360 introduces our viewers to a group of student teachers who are making a difference as teachers to under-served kids in ...,2024-01-23 19:32:26.041789
