video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=3WZ_mZMVdkQ&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,90 second walking tour of the UW Bothell campus,6K,3 years,Want to get an idea of what the University of Washington Bothell campus looks like but don't have much time? Take a evening ...,2024-01-23 19:33:45.938444
/watch?v=s7Wn3uMMAuk&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,Why Do You LOVE UW Bothell?,13K,7 years,"What I like about UW Bothell is really the tight-knit community that it has. Having professors that you know, friends that you see ...",2024-01-23 19:33:45.944999
/watch?v=Jww1qBaNUFU&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell best kept secret,2.5K,7 years,"Where's the best place to study? What's the secret to parking on campus? In this short video by student Jama Abdirahman, ...",2024-01-23 19:33:45.949430
/watch?v=BxgpZOOG594&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell Residential Village Phase 1 Opening Fall 2023,711,6 months,"Check out the latest drone footage of the Residential Village, opening this Fall 2023. Phase II residential halls will open Fall 2024.",2024-01-23 19:33:45.954720
/watch?v=NGiiX6h-W8E&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell in 60 seconds,2.7K,2 years,"Got a minute? Take our 60-second tour of the University of Washington Bothell. Get the facts on our diverse student body, ...",2024-01-23 19:33:45.957699
/watch?v=iZSkPw6oG00&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,Day in the Life // Part 1,11K,8 years,"Follow Meghan's day as a current UW Bothell student. See what she sees as she wakes up in student housing, goes to class, and ...",2024-01-23 19:33:45.960229
/watch?v=8Ik_8cwkgXI&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell Virtual Tour,20K,11 years,Holly the Husky takes viewers on a virtual tour of the UW Bothell campus.,2024-01-23 19:33:45.964142
/watch?v=YrtKawHFsWY&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@UniversityWalkTour,University Walk Tour,University of Washington (Bothell Campus) - Virtual Walking Tour [4k 60fps],690,8 months,XD -------------------------------------------------- Brief intro of UW Bothell: The University of Washington Bothell (UW Bothell) is a branch ...,2024-01-23 19:33:45.967450
/watch?v=GdeOYvpWkD4&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,Welcome to UW Bothell!,1.3K,8 years,"The University of Washington Bothell provides a high-value, leading-edge educational experience with faculty and staff who are ...",2024-01-23 19:33:45.973517
/watch?v=82GDeLwfD6Y&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell 2023 Commencement Full Ceremony | 12 P.M.,7.3K,Streamed 7 months,"On June 11, 2023, the University of Washington Bothell will honor the graduating class of 2023. Hundreds of graduates will take ...",2024-01-23 19:33:45.976137
/watch?v=5t8owB2lobw&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@le_see,Le See,University of Washington (UW) Bothell Campus Walking Tour in Summer 2022.,731,1 year,"University of Washington Bothell is a public institution located in Bothell, Washington and part of the University of Washington ...",2024-01-23 19:33:45.978784
/watch?v=K7Q_whXP8jk&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,Will You Choose UW Bothell?,5.6K,5 years,"Through community engagement projects, University of Washington Bothell students gain invaluable experience partnering with ...",2024-01-23 19:33:45.981926
