video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=X6WxZwAw6Qc&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@AaronClarey,AaronClarey,UW Bothell or Seattle: Where Should I Go,3.6K,5 years,Seattle traffic makes this a no brainer. Attend your local college. Forget going to the Seattle campus. It's not worth 2 hours of your ...,2024-01-23 19:33:45.984453
/watch?v=dTDy-AsgMF0&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@RelaxingDrives,Relaxing Drives,"University of Washington Bothell Campus - Bothell, WA | Relaxing Drives",1.5K,2 years,"As a part of this drive, we will also drive by the Cascadian Community College that shares part of the campus with UW Bothell.",2024-01-23 19:33:45.986936
/watch?v=6_TcMPcGZIg&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell abuzz,412,7 years,Summer months on the UW Bothell campus are usually quiet months as most students are taking a well-deserved break.,2024-01-23 19:33:45.989321
/watch?v=oc7woksoxpI&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,The UW Bothell Educational Experience,478,10 years,Environmental science education at the University of Washington Bothell isn't just for science majors. Through a cross-disciplinary ...,2024-01-23 19:33:45.992319
/watch?v=Hlzz7MmFmyg&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,2023 Legacy Award,189,6 months,"Historically, the University of Washington Bothell Legacy Award has recognized individuals or families who contribute their time, ...",2024-01-23 19:33:52.958261
/watch?v=OSFzvvIbLkM&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,2023 President's Medal Award,113,6 months,"Each year, the President's Medal is awarded to a graduating senior with the most distinguished academic record. Students are ...",2024-01-23 19:33:52.959740
/watch?v=t35-6R5dq8c&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell Mechanical Engineering students design a 3D printed hand for 10-year-old Reese,2.7K,4 years,"UW Bothell Mechanical Engineering students, Michael and Adham, describe a very special project for young girl named Reese.",2024-01-23 19:33:52.961223
/watch?v=aIfApWqmQSg&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell Residents' Experience,7.3K,12 years,UW Bothell offers student housing on campus as well as off-campus. This video documents some of our students' experiences ...,2024-01-23 19:33:52.962767
/watch?v=vQuUgqE8KQs&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,Meet UW Bothell Chancellor Kristin Esterberg,986,2 years,"Dr. Kristin Esterberg began her role as chancellor for the University of Washington Bothell on Oct. 1, 2021, just as the campus ...",2024-01-23 19:33:52.964370
/watch?v=X98N18-Kp88&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@seattlepi3183,seattlepi,"Crows at University of Washington, Bothell",54K,10 years,A murder of crows gathers on the rooftops and trees around the University of Washington Bothell campus at dusk. The birds then ...,2024-01-23 19:33:52.966038
/watch?v=vSRs0OmC6Ws&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell - Student Mentorship,1.1K,4 years,The power of mentoring The impact faculty mentors can make during college is a powerful — as three students from the University ...,2024-01-23 19:33:52.967262
/watch?v=2xI5MFxl-xM&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,International Student Experience at UW Bothell,4.7K,13 years,Wondering why YOU should choose UW Bothell? Check out this video where UW Bothell international students explain why they ...,2024-01-23 19:33:52.968541
/watch?v=dN3FI5-XJYQ&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@universityofwashington,UW (University of Washington),Quick Images with UW Bothell's Allison Hintz,843,8 years,"Allison loves to love math, and she teaches the subject to pre-service teachers in the UW Bothell School of Educational Studies.",2024-01-23 19:33:52.969906
/watch?v=T0ywEQhB1i0&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,Members of UW Bothell Class of 2017 share post-grad plans,1K,6 years,The newest alumni from the University of Washington Bothell's Class of 2017 credit their preparation for life after college to the ...,2024-01-23 19:33:52.971162
/watch?v=knr6oRJwiWQ&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@Doyindoccom,Doyindoccom,Inside University of Washington Bothell | UW Campus Tour,1.4K,2 years,Come with me to the beautiful UW campus in Bothell.,2024-01-23 19:33:52.972426
/watch?v=XFRq6dzF0hE&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,I Heart UW Bothell,902,5 years,Increasing access to an excellent University of Washington education has always been a guiding force for the UW Bothell campus ...,2024-01-23 19:33:52.975497
/watch?v=LcakSJk9NaI&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,Student Success at UW Bothell and Beyond,1.4K,10 years,"The administration, faculty and staff are committed to creating a unique and thriving environment at UW Bothell. Every student ...",2024-01-23 19:33:52.977292
/watch?v=TYtRmEb-kCc&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@UWBothellSmashClub,UW Bothell Smash Club,Welcome to the UW Bothell Smash Bros. Club!,124,3 months,Welcome to the Smash Bros. Club at the University of Washington Bothell campus! We are a very new club dedicated to creating ...,2024-01-23 19:33:52.978556
/watch?v=tOW6L1GdXew&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell's Exemplary Community Based Learning,675,10 years,Community based learning and research is vital to the UW Bothell experience. Students complete field work on real world ...,2024-01-23 19:33:52.979808
/watch?v=M6OGe3K0wOw&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,Part 1: UW Bothell Hosts Dr. Cornel West Q&A,6K,9 years,"On Friday, March 7 2014, the University of Washington Bothell community was honored to host provocateur and best-selling ...",2024-01-23 19:33:52.981492
/watch?v=pO6d-Pe31cc&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell Student Success 2015,674,8 years,"The more things change, the more they stay the same. In celebration of UW Bothell's 25th anniversary, we decided to take a look ...",2024-01-23 19:34:01.860302
/watch?v=55AqBVYfnm8&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell Students Ready to Play,676,11 years,The UW Bothell community celebrated opening day of the student funded $3.3 million Sports and Recreation Complex.,2024-01-23 19:34:01.861677
/watch?v=8cfcK9nFfmg&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell Dean Bruce Burgett - School of Interdisciplinary Arts and Sciences,1.4K,10 years,"Meet Bruce Burgett, Dean of the UW Bothell School of Interdisciplinary Arts and Sciences. Burgett earned his bachelor's and ...",2024-01-23 19:34:01.863532
/watch?v=4W7zABsktSA&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell Autonomous Tricycle,14K,7 years,"At the University of Washington Bothell, professor Tyler Folsom is working to make sure bicycles are included in the movement ...",2024-01-23 19:34:01.864925
/watch?v=WyAaaZupvKs&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell: Industry Partnerships,395,10 years,"UW Bothell students are making tremendous impact through their work with local industry partners, and they are poised to leave ...",2024-01-23 19:34:01.866158
/watch?v=nyBrpP3PbAs&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell 2017 academic goals,302,6 years,"Right now i'm in the major of Media and Communications here on University of Washington Bothell, and I hope to graduate this ...",2024-01-23 19:34:01.867409
/watch?v=eoZJZ760OwU&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,Preview Day at University at UW Bothell,1.1K,11 years,"Our Preview Days give students and their families a glimpse into life at UW Bothell. Our faculty, students, alumni, and staff will be ...",2024-01-23 19:34:01.868654
/watch?v=UQx4fpUO-eY&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,"UW Bothell - Love Purple, Raise Gold",199,10 years,Celebrate UW's 152nd birthday and help us reach 152 donors with a gift to any UW Bothell fund during our 48-hour online giving ...,2024-01-23 19:34:01.869893
/watch?v=VEGjTaAOvJc&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell - Violence Prevention Advocacy,166,4 years,My name is Elizabeth and I manage the violence prevention and advocacy program at UW Bothell and Cascadia College. Part of ...,2024-01-23 19:34:01.871132
/watch?v=s0wUaQS22KU&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell students improving lives across Washington,814,7 years,"Through community engagement projects, University of Washington Bothell students gain invaluable experience partnering with ...",2024-01-23 19:34:01.872398
/watch?v=cnm9CL8SLj8&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell 2021 Legacy Award,285,2 years,"A couple who are strong advocates for the University of Washington Bothell and its students, Dr. Preston Simmons and Jill ...",2024-01-23 19:34:01.877610
/watch?v=_G8w2XtQ4mM&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,Happy Holidays from UW Bothell!,668,9 years,Here's a little something from UW Bothell to get you in the holiday spirit.,2024-01-23 19:34:01.878913
/watch?v=MNCmB4mIaQk&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell's Innovation Forum,282,11 years,"UW Bothell's Innovation Forum is a week-long event that brings together students, faculty and the community to discuss the big ...",2024-01-23 19:34:01.880154
/watch?v=8VrQRU6fHaQ&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,14th annual UW Bothell Husky 5K,416,4 years,"1000 alumni, friends and supporters came to campus for a fun run along the promenade and through the streets of Bothell.",2024-01-23 19:34:01.881411
/watch?v=LH0P9Pd6tQU&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@UWVideo,UW Video,UW Bothell in 60 Seconds,928,9 years,"Take a minute and get a glimpse of the University of Washington Bothell - one of the fastest growing, most diverse universities in ...",2024-01-23 19:34:01.882739
/watch?v=4ox1w7_5Etw&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,Meet UW Bothell’s Makerspace Team Pt. 2,219,8 years,Learn more: http://www.uwb.edu/news/uwbothell-news/2015/makerspace-081515.,2024-01-23 19:34:01.884031
/watch?v=OPlRoZ8x2cI&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,2019 UW Bothell Commencement,7.2K,Streamed 4 years,Welcome to the 2019 Commencement ceremony for UW Bothell.,2024-01-23 19:34:01.886365
/watch?v=iyXjqT3rxOk&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell Donors Bill and Lydia Abbott Receive the Legacy Award,95,10 years,It is with great pleasure that we honor Bill & Lydia Abbott with the 2013 UW Bothell Legacy Award for their generous commitment ...,2024-01-23 19:34:01.887693
/watch?v=7pMX9DT6Qfo&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@UWVideo,UW Video,UW Bothell's 25 Years of Success,228,8 years,UW 360 host Carolyn Douglas reports on the continued success of UW Bothell as it celebrates 25 years of growth. Carolyn ...,2024-01-23 19:34:01.889135
/watch?v=bc6xp768QIQ&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,University of Washington Bothell 2014 Commencement,2.4K,Streamed 9 years,The University of Washington Bothell is set to graduate the largest class in its history. More than 1600 students will receive ...,2024-01-23 19:34:10.705161
/watch?v=UjrJBgwOJj4&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell in Guatemala,982,7 years,Eighteen University of Washington Bothell students saw the challenges of providing health care in a country with minimal ...,2024-01-23 19:34:10.708932
/watch?v=p_fUF5v_WuM&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell Research in Action: Kari Lerum,868,13 years,"Our faculty has earned a strong reputation for research and publication in areas critical to improving the quality of individuals, ...",2024-01-23 19:34:10.712785
/watch?v=cOEY24dlcOk&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,Work at UW Bothell and Create a World of Good,321,8 years,"With nearly 5000 students and 45 undergraduate and graduate degree programs and options, the University of Washington ...",2024-01-23 19:34:10.715532
/watch?v=uSE9IpZvnMg&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,Thank you UW Bothell Community Partners!,189,3 years,"We give thanks to the non-profits, local government, K-12 schools, and for-profits that have collaborated with UW Bothell faculty, ...",2024-01-23 19:34:10.718336
/watch?v=rFGelcThXkM&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell's Discovery Hall Revealed,2.1K,10 years,Take a look at what was going on under all that scaffolding at UW Bothell. Construction workers recently removed the scaffolding ...,2024-01-23 19:34:10.721125
/watch?v=xPs0TTYiczU&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell brings the Sally Ride Science Festival to the Pacific Northwest,686,9 years,"Sally Ride Science and UW Bothell host science festival to ignite girls' interest in science, technology, engineering and ...",2024-01-23 19:34:10.726183
/watch?v=tuPmoKbjfNY&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell Wetlands Tour,587,6 years,The 58-acre wetlands that cover nearly half the UW Bothell campus serve as a living laboratory for faculty and student research.,2024-01-23 19:34:10.729145
/watch?v=479o-DtoqQo&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell 2017 Commencement Highlights,1.6K,6 years,Watch the highlights from the commencement ceremony featuring UW Bothell's 2017 graduating class. Visit uwb.edu to learn ...,2024-01-23 19:34:10.731867
/watch?v=DonJ9iWqr-I&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,Top Off of UW Bothell Science and Academic Building Draws Hundreds for Beam Signing,279,10 years,The top beam of the Science and Academic Building was placed over the summer with great fanfare. Hundreds from throughout ...,2024-01-23 19:34:10.735969
/watch?v=GpHgFWzEoQc&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,13th annual UW Bothell Husky 5K,523,5 years,Nearly 1.300 people came to the UW Bothell campus to raise 18000 for student scholarships for our most successful 5K yet!,2024-01-23 19:34:10.738651
/watch?v=T1RQbMCJf4k&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,"UW Bothell Dean Elaine Scott - School of Science, Technology Engineering and Mathematics",3K,10 years,"Meet Elaine Scott, Dean of the School of Science, Technology, Engineering and Mathematics. Scott joined UW Bothell in 2012; ...",2024-01-23 19:34:10.743642
/watch?v=U1OL1XYjR1g&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell Coca-Cola Engaged Scholars Program,224,7 years,KOMO Radio's Pete Combs reports on the UW Bothell Coca-Cola Engaged Scholars Program.,2024-01-23 19:34:10.746519
/watch?v=vaCtxpkhEgQ&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,A Birdseye View of UW Bothell,499,10 years,The UW Bothell community eagerly awaits the new $62 million Science and Academic building that is scheduled for completion in ...,2024-01-23 19:34:10.749741
/watch?v=zWGOjJFTxM0&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell Research in Action: Dan Jaffe,689,14 years,Professor Dan Jaffe talks about his work in environmental science including his groundbreaking and internationally recognized ...,2024-01-23 19:34:10.753372
/watch?v=Cfe_iAZDIxg&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell Students Meet the Supreme Court pt. 4,118,8 years,UW Bothell welcomes the Washington State Supreme Court.,2024-01-23 19:34:10.756076
/watch?v=MFJGwkcY2fE&pp=ygUKdXcgYm90aGVsbA%3D%3D,/@uwbothell,UW Bothell,UW Bothell Social Enterprise Workshop,343,9 years,"During the summer of 2013, Director of Community Based Learning at UW Bothell Paul Markham teamed up with affiliate ...",2024-01-23 19:34:10.759506
