video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=klDLZ6mAS1k&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@CampusMania,CampusMania,University of Washington | UW | 4K Campus Drone Tour,25K,1 year,A shortened version of our University of Washington campus tour in 4K! Watch our full tour of UW campus in 8K from here: ...,2024-01-22 21:28:35.848420
/watch?v=HmKKy0zD-uw&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@hafu,Hafu Go,What's It Like Inside University of Washington? | UW Campus Crawl Tour,368K,3 years,"CAMPUS CRAWL is the series where I take you to the best college campuses across the world! I'll show you the student life, ...",2024-01-22 21:28:35.856705
/watch?v=64eaz6VlAlI&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@lucylee13,Lucy Lee,week in my life as a grad student in seattle | university of washington,4.3K,2 months,damn grad school is no joke LOL.. so grateful for my friends who play with me as I die T_T love u all xx thanks for following me ...,2024-01-22 21:28:35.861078
/watch?v=BIWAo4DKyLo&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@universityofwashington,UW (University of Washington),University of Washington student 'move-in' 2023,4K,4 months,"From September 19th to 22nd, thousands of UW students move into campus housing and prepare for the new academic year.",2024-01-22 21:28:35.867040
/watch?v=gOmiwd2HS_c&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@UWVideo,UW Video,University of Washington Campus Tour,461K,11 years,"Check out the University of Washington's main campus, with a look at the natural beauty and architectural wonders that make the ...",2024-01-22 21:28:35.871296
/watch?v=g--93OS0498&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@nancyhe,Nancy He 何南希,DAY IN MY LIFE @ the University of Washington // freshman,21K,1 year,"dayinthelife #universityofwashington #collegevlog welcome everyone to, I think, my favorite video I've ever filmed/edited ever!",2024-01-22 21:28:45.834983
/watch?v=JSiuqUIExVM&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@fox13seattle,FOX 13 Seattle,Move-in day at the University of Washington,999,4 months,"This week, students around the country are returning to college. It's move-in day for most schools on the quarter system, like UW ...",2024-01-22 21:28:45.843037
/watch?v=sqtnxj0i52Q&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@ActionKid,ActionKid,Seattle Walk : University of Washington Campus & U-District in April 2023,16K,8 months,"The University District, often called ""U-District,"" is a neighborhood located in the north-central part of Seattle, Washington. As the ...",2024-01-22 21:28:45.845504
/watch?v=2Enr83__pvU&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@kennakwok.,Kenna Kwok,ALL ABOUT UW - WHAT I WISH I KNEW BEFORE,17K,2 years,I wanted to share a video covering all aspects of the University of Washington and things I wish I knew before freshman year!,2024-01-22 21:28:45.855425
/watch?v=Otv034NAG8s&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@universityofwashington,UW (University of Washington),UW Campus Tour: IMA,48K,5 years,"The UW's Intramural Activities building is the spot on campus if you're looking for a complete workout, as well as the place for ...",2024-01-22 21:28:45.859086
/watch?v=7SrraT7Ir3w&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@KING5Seattle,KING 5 Seattle,Record-setting freshman class moves in at UW campus,4.3K,1 year,A packed car and a hopeful freshman may be the latest metric that the world is getting back to normal. The University of ...,2024-01-22 21:28:45.861456
/watch?v=JRriG9QJvGc&pp=ygUKdXcgc2VhdHRsZQ%3D%3D,/@ShirishGee,Shirish Gupta,"UNIVERSITY OF WASHINGTON, SEATTLE - COMPLETE GUIDE HOW TO GET IN | College Admissions, College vlog",21K,1 year,"MOST BEAUTIFUL CAMPUS, UNIV OF WASHINGTON, SEATTLE is one of the top universities around the world. Here is a Step ...",2024-01-22 21:28:45.868308
